name,words
건축자재,"['쌍용양회우', '삼일씨엔에스', '성신양회우', 'LG하우시스', '한솔홈데코', 'SG', 'LG하우시스우', '동양파일', '케이씨씨글라스', '동양', '동화기업', '동양우', '일신석재', '한일현대시멘트', '노루홀딩스우', '벽산', '이엑스티', '삼표시멘트', '이건산업', '넥스트사이언스', '동양2우B', '강남제비스코', '라이온켐텍', '센트럴바이오', '한일홀딩스', '성신양회', '노루홀딩스', '동양3우B', '부산산업', '서산', '노루페인트', '고려시멘트', '삼화페인트', '유진기업', 'KCC', '홈센타홀딩스', '한일시멘트', '보광산업', '조광페인트', '유니온', '모헨즈', '아세아시멘트', '노루페인트우', '쌍용양회', '에스와이']"
"호텔,레스토랑,레저","['노랑풍선', '디딤', '하나투어', '모두투어', '강원랜드', '시공테크', '남화산업', '아난티', '해마로푸드서비스', 'GKL', '호텔신라', '신세계푸드', '참좋은여행', '호텔신라우', 'MP그룹', '서부T&D', '파라다이스', '롯데관광개발', '이월드', '세중', '용평리조트']"
복합기업,"['SK네트웍스우', 'SK우', 'SK', '두산', 'SK네트웍스', 'LG', 'CJ', 'CJ4우(전환)', '두산2우B', '두산우', 'LG우', 'CJ우', '삼성물산우B', '웅진', '삼성물산', '효성']"
디스플레이장비및부품,"['인지디스플레', '케이피에스', '오성첨단소재', '루미마이크로', '한송네오텍', '엘이티', '아바코', '아이엠이연이', '인베니아', '휘닉스소재', '야스', '영우디에스피', '힘스', '루멘스', '한솔테크닉스', '티엘아이', '디이엔티', '세미콘라이트', '이라이콤', 'GRT', '티로보틱스', '케이맥', '신화인터텍', '에스엔유', '에프엔에스테크', '아바텍', '엘디티', '삼진엘앤디', '신도기연', '제이엠티', '새로닉스', 'HB테크놀러지', '우리이앤엘', '선익시스템', '아이씨디', '파인텍', '위지트', 'DMS', '포인트엔지니어링', '엘엠에스', '코이즈', '미래나노텍', '실리콘웍스', '토비스', '브이원텍', '아이엘사이언스', '제이스텍', '파인디앤씨', '유아이디', '에이아이비트', '지스마트글로벌', '넥스트아이', '디에스케이', '덕산테코피아', '비아트론', '유양디앤유', '이큐셀', '케이엔제이', '매직마이크로', '천보', 'APS홀딩스', 'AP시스템', '디아이티', '동아엘텍', '엘아이에스', '로체시스템즈', '예선테크', '세진티에스', 'SK머티리얼즈', '디바이스이엔지', '라이브파이낸셜', '엘티씨', '참엔지니어링', '쎄미시스코', '서울반도체', '제이엠아이', '베셀', '탑엔지니어링', '한국컴퓨터', '핌스', '톱텍', '와이엠씨', '서울바이오시스', 'GV', '이엘피', '아나패스', '필옵틱스', '덕산네오룩스', '금호전기', '미래컴퍼니', '아이컴포넌트', '상보', '우리조명', '우리바이오']"
상업서비스와공급품,"['이지웰', '제넨바이오', 'KTis', 'SCI평가정보', 'NICE', 'KTcs', '에스원', '아이마켓코리아', 'NICE평가정보', '이크레더블', '사람인에이치알', '인선이엔티', '한국기업평가', '나이스디앤비', '고려신용정보', '한국코퍼레이션', '효성ITX', '코엔텍', '나이스정보통신', '자연과환경', '누리플랜']"
"섬유,의류,신발,호화품","['골드퍼시픽', '형지엘리트', '브랜드엑스코퍼레이션', '젬백스링크', 'F&F', '신원우', '메타랩스', '전방', '진도', '제로투세븐', '지엔코', 'LS네트웍스', '에스티오', '영원무역홀딩스', '삼양통상', '코오롱머티리얼', '한세엠케이', '일신방직', '효성티앤씨', '아가방컴퍼니', '화승엔터프라이즈', '제이에스코퍼레이션', '더네이쳐홀딩스', '경방', '인디에프', '이스트아시아홀딩스', '신세계인터내셔날', '우노앤컴퍼니', '아즈텍WB', '조광피혁', '방림', '그리티', '대원화성', '신성통상', '대현', '성안', 'BYC', '원풍물산', 'SG세계물산', '한세예스24홀딩스', '백산', '디케이앤디', '쌍방울', '배럴', '영원무역', '신원', '유니켐', '신영와코루', '제이에스티나', '휴비스', 'BYC우', '리노스', '까스텔바작', '대한방직', '덕성우', '호전실업', '비티원', '형지I&C', '좋은사람들', '코데즈컴바인', 'DI동일', 'LF', '휠라홀딩스', '코웰패션', '에스제이그룹', '태평양물산', '한섬', '패션플랫폼', '화승인더', '덕성', '윌비스', '토박스코리아', '한세실업', '크리스에프앤씨', 'TBH글로벌', '비비안', '웰바이오텍', '국동']"
복합유틸리티,"['지역난방공사', 'KG ETS']"
건축제품,"['국영지앤엠', '남선알미우', '프럼파스트', '금강공업우', '이건홀딩스', '정산애강', '뉴보텍', '와토스코리아', '다스코', '제일테크노스', '덕신하우징', '대림B&Co', '금강공업', '대림통상', '윈하이텍', '삼목에스폼', '남선알미늄', 'W홀딩컴퍼니']"
가정용기기와용품,"['자이글', '신성델타테크', '파세코', '신일전자', '경동나비엔', 'PN풍년', '엔바이오니아', '하츠', '위닉스', '쿠쿠홀딩스', '코웨이', '행남사', '한독크린텍', '위니아딤채', '오텍', '유진로봇', '쿠쿠홈시스', '부방']"
음료,"['무학', '흥국에프엔비', '진로발효', '롯데칠성우', '하이트진로홀딩스', '하이트진로', '하이트진로2우B', '롯데칠성', '국순당', '네이처셀', '창해에탄올', '풍국주정', 'MH에탄올', '하이트진로홀딩스우', '보해양조']"
