name,words
미래나노텍,"['플라스틱제품 제조업', 'LCDBLU용광학필름', '디스플레이장비및부품', '나노', '미래', '경제', '테마', '외국인', '기사', '알고리즘']"
오스테오닉,"['의료용 기기 제조업', '골접합 및 재건용 금속소재 및 생분해성 복합소재 기반 임플란트', '건강관리장비와용품', '오스', '테오', '무상', '경제', '증자', '췌장암', '진단']"
포메탈,"['기타 금속 가공제품 제조업', '자동차,풍력,방위산업,산업기계,농기계등의 단조부품', '기계', '메탈', '경제', '테마', '재무', '알고리즘', '상승세', '단기']"
셀바스AI,"['소프트웨어 개발 및 공급업', '인공지능 솔루션 등', '건강관리장비와용품', '셀바스', 'AI', '기업', '지능', '음성', '기술', '주식']"
신영증권,"['금융 지원 서비스업', '증권업', '증권', '신영', '증권', '경제', '본부', '컬처', '고객', '부사장']"
웰바이오텍,"['상품 중개업', '피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조', '섬유,의류,신발,호화품', '텍', '바이오', '경제', '차트', '코로나', '키트', '진단']"
테스나,"['그외 기타 전문, 과학 및 기술 서비스업', '반도체 테스트', '반도체와반도체장비', '테스', '경제', '한경', '영업', '매출액', '외국인', '반도체']"
나이벡,"['의료용품 및 기타 의약 관련제품 제조업', '치아미백제,치과용 골이식재', '건강관리장비와용품', '나이', '치료제', '개발', '진행', '제약사', '경제', '연구']"
코오롱생명과학,"['기초 의약물질 및 생물학적 제제 제조업', '항균제, 수처리제, 원료의약 등', '제약', '생명', '과학', '코오롱', '임상', '미국', '경제', '병증']"
비디아이,"['일반 목적용 기계 제조업', '탈황설비, 전기집진기, 회처리 및 회정제설비', '기계', '경제', '디아이', '계약', '주주', '결정', '진행', '인수']"
브이원텍,"['특수 목적용 기계 제조업', 'LCD/OLED 압흔검사기', '디스플레이장비및부품', '원텍', '브이', '경제', '공급', '검사', '전지', '시스템']"
현대공업,"['자동차 신품 부품 제조업', '시트패드, 암레스트, 헤드레스트', '자동차부품', '공업', '현대', '경제', '외국인', '영업', '기자', '자동차']"
액트,"['전자부품 제조업', '연성회로기판', '핸드셋', '경제', '증자', '유상', '외국인', '매수', '전일', '대량']"
이니텍,"['소프트웨어 개발 및 공급업', '정보보안 및 인증솔루션', '소프트웨어', '경제', '대비', '실적', '영업', '정보', '점수', '재무']"
유니온머티리얼,"['내화, 비내화 요업제품 제조업', '페라이트,세라믹 제조,도매', '자동차부품', '리얼', '유니온', '머티', '경제', '한국', '외국인', '기사']"
에이프로젠 KIC,"['기타 금속 가공제품 제조업', '단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대', '기계', '이프로', 'KIC', '경제', '한경', '뉴스', '영업', '이익']"
아이쓰리시스템,"['전자부품 제조업', '적외선 영상센서, 엑스레이 영상센서', '우주항공과국방', '시스템', '경제', '아이', '계약', '한경', '업체', '외국인']"
SCI평가정보,"['기타 정보 서비스업', '신용조회,채권추심,신용조사', '상업서비스와공급품', '평가', '경제', 'SCI', '정보', '외국인', '매수', '전일']"
광림,"['자동차용 엔진 및 자동차 제조업', '전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체', '기계', '경제', '인수', 'CB', '특장차', '상환', '발행', '전환']"
동진쎄미켐,"['기초 화학물질 제조업', '반도체,LCD용재료(감광제,봉지제),발포제', '반도체와반도체장비', '동진', '쎄미', '경제', '공장', '포토레지스트', '증설', '규제']"
베셀,"['특수 목적용 기계 제조업', '디스플레이 제조장비', '디스플레이장비및부품', '경제', '공시', '디스플레이', '대표', '제조', '수주', '공급']"
효성화학,"['기초 화학물질 제조업', '-', '화학', '화학', '효성', '경제', 'PER', '종목', '차트', '만주']"
한국금융지주,"['기타 금융업', '금융지주회사', '증권', '금융', '증권', '경제', '지주', '유지', '뉴스', '회장']"
삼익악기,"['악기 제조업', '피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매', '레저용장비와제품', '악기', '삼익', '피아노', '경제', '행사', 'DP', '외국인']"
대림씨엔에스,"['에스', '대림', '경제', '대비', '매출액', '공사', '수주']"
로보티즈,"['특수 목적용 기계 제조업', '솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼', '교육서비스', '로봇', '티즈', '로보', '자율', '주행', '배달', '서비스']"
에이프런티어,"['기계장비 및 관련 물품 도매업', '무선통신,방송및응용장치제조업', '생명과학도구및서비스', '프런티어', '영인', '경제', '김준성', '대표', '체제', '기자']"
큐로컴,"['컴퓨터 프로그래밍, 시스템 통합 및 관리업', '시스템통합, 지능형교통시스템', 'IT서비스', '큐', '경제', '차트', '한경', '기사', '외국인', '정배']"
유바이오로직스,"['의약품 제조업', '경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조', '생물공학', '바이오', '로직스', '개발', '백신', '접합', '경제', '바이러스']"
우리넷,"['통신 및 방송 장비 제조업', '광전송장비(MSPP), 교환장비(AGW)', '통신장비', '경제', '통신', '개발', '기술', '장비', '양자', '대표']"
오리엔트바이오,"['의약품 제조업', '의약품 제조', '자동차부품', '바이오', '오리엔트', '경제', '차트', '만주', '기관', '외국인']"
싸이토젠,"['자연과학 및 공학 연구개발업', 'CTC 기반 Liquid Biopsy 응용사업 및 플랫폼', '생물공학', '젠', '진단', '개발', '검사', '플랫폼', '자동', '조직']"
메리츠화재,"['보험업', '손해보험(화재,해상,운송보험)', '손해보험', '화재', '메리', '경제', '증권', '보험', '영업', '순이익']"
알에프세미,"['반도체 제조업', 'ECM, DIODE, LED Light', '핸드셋', '세미', '에프', '마이크로폰', '생산', 'ECM', '개발', '확대']"
한진중공업홀딩스,"['연료용 가스 제조 및 배관공급업', '지주회사', '가스유틸리티', '홀딩스', '경제', '중공업', '한진', '차트', '외국인', 'PER']"
아가방컴퍼니,"['생활용품 도매업', '유아용 의류 및 용품', '섬유,의류,신발,호화품', '외국인', '아가방', '컴퍼니', '경제', '대량', '뉴스', '기사']"
나무기술,"['소프트웨어 개발 및 공급업', '응용소프트웨어 개발 및 공급업', 'IT서비스', '나무', '기술', '경제', '외국인', '클라우드', '최근', '만주']"
노바텍,"['그외 기타 제품 제조업', 'Magnet, Shield Magnet, 심재', '핸드셋', '경제', '바텍', '자석', '노바', '희토류', '생산', '중국']"
유니퀘스트,"['기계장비 및 관련 물품 도매업', '반도체직접회로 도매,무역,제조', '반도체와반도체장비', '퀘스트', '유니', '경제', 'AI', '개발', '차량', '외국인']"
링네트,"['컴퓨터 프로그래밍, 시스템 통합 및 관리업', '네트워크 구축(Network Integration)', 'IT서비스', '네트', '경제', '배', '대비', '뉴스', '전년', '영업']"
코엔텍,"['폐기물 처리업', '산업폐기물 소각/매립처리', '상업서비스와공급품', '코', '폐기물', '업체', '환경', '인수', '매각', 'PE']"
핸즈코퍼레이션,"['자동차 신품 부품 제조업', '자동차 알루미늄 휠', '자동차부품', '코퍼레이션', '핸즈', '실적', '경제', '영업', '뉴스', '주주']"
피엔티,"['특수 목적용 기계 제조업', '2차전지 및 전자소재용 Roll-to-Roll 장비', '전기제품', '전지', '경제', '장비', '제조', '설비', '피엔', '유지']"
BGF,"['기타 금융업', '지주회사', '백화점과일반상점', '영업', '경제', '적자', '전환', '실적', '만주', '이익']"
HDC현대EP,"['기타 화학제품 제조업', '합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매', '자동차부품', '경제', '현대', 'HDC', 'EP', '외국인', '순매도', '뉴스']"
마이크로프랜드,"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외', '반도체 검사용 프로브카드', '반도체와반도체장비', '마이크', '로프', '랜드', '경제', '공시', '외국인', '매수']"
원일특강,"['1차 철강 제조업', '특수강', '철강', '원일', '특강', '경제', '영업', '전년', '대비', '헤럴드']"
DRB동일,"['기타 금융업', '고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매', '자동차부품', '경제', '동일', 'DRB', '기관', '단기', '만주', '최근']"
대성엘텍,"['영상 및 음향기기 제조업', '카멀티미디어 및 TFT-LCD 부품제조..', '자동차부품', '대성', '경제', '매각', '스틱', '기자', '외국인', '지분']"
네이처셀,"['기초 의약물질 및 생물학적 제제 제조업', '닥터쥬크르', '음료', '네이처', '경제', '임상', '계획', '스템', '시험', '외국인']"
연이정보통신,"['연이', '정보', '통신', '기자', '경제', '대표', '주가']"
SG세계물산,"['상품 종합 도매업', '피복류,봉제품,P.E제품 수출입,도매,제조/조경사업', '섬유,의류,신발,호화품', '기관', 'SG', '물산', '세계', '경제', '만주', '외국인']"
갤럭시아컴즈,"['갤럭시', '컴즈', '머니', '결제', '트리', '모바일', '기업']"
네오위즈,"['소프트웨어 개발 및 공급업', '피망,스페셜포스', '게임엔터테인먼트', '네오', '위즈', '게임', '경제', '출시', '분기', '규제']"
롯데제과,"['기타 식품 제조업', '껌,캔디,초코,비스켓,빙과', '식품', '제품', '경제', '출시', '기자', '빵', '롯데', '자일리톨']"
SK하이닉스,"['반도체 제조업', '반도체,컴퓨터,통신기기 제조,도매', '반도체와반도체장비', 'SK', '하이닉스', '경제', '반도체', '삼성전자', '코로나', '투자']"
NI스틸,"['1차 철강 제조업', '스틸파이프,철강재임가공 제조,도매', '철강', '스틸', '경제', 'NI', '철강', '상승세', '상승', '정배']"
에스엠,"['오디오물 출판 및 원판 녹음업', '음반(CD,MC),연예 대리', '기계', 'SM', '경제', '그룹', '코로나', '실적', '엔터', '먼']"
하나제약,"['의약품 제조업', '완제의약품', '제약', '제약', '졸', '레미마', '독점', '경제', '획득', '마취제']"
SK텔레콤,"['전기 통신업', '이동전화,무선호출서비스,부가통신', '무선통신서비스', 'SK', '텔레콤', '서비스', '경제', '기술', '제공', '게임']"
이수페타시스,"['전자부품 제조업', 'P.C.B(인쇄회로기판),M.L.B 제조', '전자장비와기기', '페타', '이수', '시스', '경제', '만주', '뉴스', '외국인']"
디앤씨미디어,"['서적, 잡지 및 기타 인쇄물 출판업', '웹소설 콘텐츠', '출판', '디', '미디어', '경제', '웹툰', '분기', '영업', '이익']"
네오팜,"['기타 화학제품 제조업', '생체기능성(아토피)보습제', '화장품', '네오', '브랜드', '성장', '화장품', '시장', '피부', '병원']"
삼천리자전거,"['생활용품 도매업', '자전거', '레저용장비와제품', '자전거', '경제', '전기', '제품', '팬텀', '출시', '기사']"
대창단조,"['자동차 신품 부품 제조업', '자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조', '기계', '단조', '대창', '건설', 'PBR', '중장비', '업체', '경제']"
마크로젠,"['그외 기타 전문, 과학 및 기술 서비스업', 'DNA Sequencing, Microarray, Genetically Engineered Mouse', '생명과학도구및서비스', '마크', '분석', '경제', '마이크', '바이옴', '유전자', '기업']"
